Date,Project_ID,Project_Type,Location,Material_Cost,Labor_Cost,Equipment_Cost,Total_Cost,Revenue,Profit
30-03-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,187501,46251
31-03-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,173475,34075
01-04-2025,VC011,Road,Chennai,47250,27750,20250,95250,111815,16565
02-04-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,246895,55895
03-04-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,207433,48133
04-04-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,213321,44321
05-04-2025,VC015,Road,Chennai,81250,47500,35000,163750,213561,49811
06-04-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,209104,41654
07-04-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,114791,23291
08-04-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,213742,40742
09-04-2025,VC019,Road,Chennai,90450,52650,39150,182250,210514,28264
10-04-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,237830,34830
11-04-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,144535,19535
12-04-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,162853,35353
13-04-2025,VC003,Road,Chennai,45000,26250,18750,90000,109158,19158
14-04-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,225308,45308
15-04-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,194134,48334
16-04-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,189577,31577
17-04-2025,VC007,Road,Chennai,77500,45000,32500,155000,190971,35971
18-04-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,204599,47349
19-04-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,101340,16590
20-04-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,191124,27124
21-04-2025,VC011,Road,Chennai,85050,49950,36450,171450,207103,35653
22-04-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,225808,34808
23-04-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,197051,49551
24-04-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,188414,44764
25-04-2025,VC015,Road,Chennai,48750,28500,21000,98250,125433,27183
26-04-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,260885,63885
27-04-2025,VC017,Residential,Bangalore,83700,48600,32400,164700,215877,51177
28-04-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,205405,32405
29-04-2025,VC019,Road,Chennai,83750,48750,36250,168750,224186,55436
30-04-2025,VC020,Bridge,Hyderabad,85000,49300,38250,172550,217045,44495
01-05-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,98361,23361
02-05-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,199382,49382
03-05-2025,VC003,Road,Chennai,81000,47250,33750,162000,196603,34603
04-05-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,210961,30961
05-05-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,161404,26404
06-05-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,165917,31617
07-05-2025,VC007,Road,Chennai,46500,27000,19500,93000,122165,29165
08-05-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,244597,59597
09-05-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,175644,23094
10-05-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,205352,41352
11-05-2025,VC011,Road,Chennai,78750,46250,33750,158750,195815,37065
12-05-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,193914,31564
13-05-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,103896,15396
14-05-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,205761,36761
15-05-2025,VC015,Road,Chennai,87750,51300,37800,176850,236728,59878
16-05-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,239284,42284
17-05-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,191198,38698
18-05-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,189783,42733
19-05-2025,VC019,Road,Chennai,50250,29250,21750,101250,123800,22550
20-05-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,272904,69904
21-05-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,181236,46236
22-05-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,180053,30053
23-05-2025,VC003,Road,Chennai,75000,43750,31250,150000,187417,37417
24-05-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,185156,32156
25-05-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,97764,16764
26-05-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,182865,24865
27-05-2025,VC007,Road,Chennai,83700,48600,35100,167400,212918,45518
28-05-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,231349,46349
29-05-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,163891,22641
30-05-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,168078,28678
31-05-2025,VC011,Road,Chennai,47250,27750,20250,95250,126839,31589
01-06-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,228801,37801
02-06-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,187811,28511
03-06-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,210893,41893
04-06-2025,VC015,Road,Chennai,81250,47500,35000,163750,220592,56842
05-06-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,200673,33223
06-06-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,117525,26025
07-06-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,225302,52302
08-06-2025,VC019,Road,Chennai,90450,52650,39150,182250,218249,35999
09-06-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,263015,60015
10-06-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,152944,27944
11-06-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,162748,35248
12-06-2025,VC003,Road,Chennai,45000,26250,18750,90000,114903,24903
13-06-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,226287,46287
14-06-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,170302,24502
15-06-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,208095,50095
16-06-2025,VC007,Road,Chennai,77500,45000,32500,155000,188194,33194
17-06-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,186703,29453
18-06-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,98153,13403
19-06-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,207981,43981
20-06-2025,VC011,Road,Chennai,85050,49950,36450,171450,220401,48951
21-06-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,220283,29283
22-06-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,184731,37231
23-06-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,171704,28054
24-06-2025,VC015,Road,Chennai,48750,28500,21000,98250,125665,27415
25-06-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,233420,36420
26-06-2025,VC017,Residential,Bangalore,83700,48600,32400,164700,212164,47464
27-06-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,212331,39331
28-06-2025,VC019,Road,Chennai,83750,48750,36250,168750,225677,56927
29-06-2025,VC020,Bridge,Hyderabad,85000,49300,38250,172550,203178,30628
30-06-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,91365,16365
01-07-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,175904,25904
02-07-2025,VC003,Road,Chennai,81000,47250,33750,162000,216260,54260
03-07-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,238584,58584
04-07-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,162214,27214
05-07-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,172172,37872
06-07-2025,VC007,Road,Chennai,46500,27000,19500,93000,122150,29150
07-07-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,233292,48292
08-07-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,191592,39042
09-07-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,196532,32532
10-07-2025,VC011,Road,Chennai,78750,46250,33750,158750,185518,26768
11-07-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,215835,53485
12-07-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,117712,29212
13-07-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,215748,46748
14-07-2025,VC015,Road,Chennai,87750,51300,37800,176850,215368,38518
15-07-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,240308,43308
16-07-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,197516,45016
17-07-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,195491,48441
18-07-2025,VC019,Road,Chennai,50250,29250,21750,101250,134401,33151
19-07-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,265112,62112
20-07-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,172584,37584
21-07-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,175024,25024
22-07-2025,VC003,Road,Chennai,75000,43750,31250,150000,177348,27348
23-07-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,203445,50445
24-07-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,102974,21974
25-07-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,181990,23990
26-07-2025,VC007,Road,Chennai,83700,48600,35100,167400,195907,28507
27-07-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,237299,52299
28-07-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,162580,21330
29-07-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,164793,25393
30-07-2025,VC011,Road,Chennai,47250,27750,20250,95250,119990,24740
31-07-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,246080,55080
01-08-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,203966,44666
02-08-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,201930,32930
03-08-2025,VC015,Road,Chennai,81250,47500,35000,163750,211636,47886
04-08-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,200512,33062
05-08-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,111179,19679
06-08-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,224778,51778
07-08-2025,VC019,Road,Chennai,90450,52650,39150,182250,233266,51016
08-08-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,267928,64928
09-08-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,160190,35190
10-08-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,161116,33616
11-08-2025,VC003,Road,Chennai,45000,26250,18750,90000,105186,15186
12-08-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,220237,40237
13-08-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,175403,29603
14-08-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,189410,31410
15-08-2025,VC007,Road,Chennai,77500,45000,32500,155000,208413,53413
16-08-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,193200,35950
17-08-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,112582,27832
18-08-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,209301,45301
19-08-2025,VC011,Road,Chennai,85050,49950,36450,171450,224421,52971
20-08-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,238850,47850
21-08-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,186643,39143
22-08-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,179347,35697
23-08-2025,VC015,Road,Chennai,48750,28500,21000,98250,116824,18574
24-08-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,255014,58014
25-08-2025,VC017,Residential,Bangalore,83700,48600,32400,164700,198653,33953
26-08-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,199791,26791
27-08-2025,VC019,Road,Chennai,83750,48750,36250,168750,215847,47097
28-08-2025,VC020,Bridge,Hyderabad,85000,49300,38250,172550,204544,31994
29-08-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,100356,25356
30-08-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,201117,51117
31-08-2025,VC003,Road,Chennai,81000,47250,33750,162000,215941,53941
01-09-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,220325,40325
02-09-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,155667,20667
03-09-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,179379,45079
04-09-2025,VC007,Road,Chennai,46500,27000,19500,93000,114914,21914
05-09-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,248516,63516
06-09-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,204832,52282
07-09-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,216578,52578
08-09-2025,VC011,Road,Chennai,78750,46250,33750,158750,191911,33161
09-09-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,199206,36856
10-09-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,116840,28340
11-09-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,205061,36061
12-09-2025,VC015,Road,Chennai,87750,51300,37800,176850,209372,32522
13-09-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,248487,51487
14-09-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,203927,51427
15-09-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,189577,42527
16-09-2025,VC019,Road,Chennai,50250,29250,21750,101250,127981,26731
17-09-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,237395,34395
18-09-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,171855,36855
19-09-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,202201,52201
20-09-2025,VC003,Road,Chennai,75000,43750,31250,150000,176702,26702
21-09-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,191810,38810
22-09-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,107363,26363
23-09-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,205108,47108
24-09-2025,VC007,Road,Chennai,83700,48600,35100,167400,215846,48446
25-09-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,238741,53741
26-09-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,172593,31343
27-09-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,168495,29095
28-09-2025,VC011,Road,Chennai,47250,27750,20250,95250,124955,29705
29-09-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,250596,59596
30-09-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,210819,51519
01-10-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,225217,56217
02-10-2025,VC015,Road,Chennai,81250,47500,35000,163750,205058,41308
03-10-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,209363,41913
04-10-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,119833,28333
05-10-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,221438,48438
06-10-2025,VC019,Road,Chennai,90450,52650,39150,182250,235174,52924
07-10-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,265759,62759
08-10-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,166000,41000
09-10-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,155243,27743
10-10-2025,VC003,Road,Chennai,45000,26250,18750,90000,110260,20260
11-10-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,210383,30383
12-10-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,184532,38732
13-10-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,182835,24835
14-10-2025,VC007,Road,Chennai,77500,45000,32500,155000,192683,37683
15-10-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,197903,40653
16-10-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,102319,17569
17-10-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,207979,43979
18-10-2025,VC011,Road,Chennai,85050,49950,36450,171450,198213,26763
19-10-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,221076,30076
20-10-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,193891,46391
21-10-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,175545,31895
22-10-2025,VC015,Road,Chennai,48750,28500,21000,98250,115484,17234
23-10-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,247126,50126
24-10-2025,VC017,Residential,Bangalore,83700,48600,32400,164700,214768,50068
25-10-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,206417,33417
26-10-2025,VC019,Road,Chennai,83750,48750,36250,168750,215085,46335
27-10-2025,VC020,Bridge,Hyderabad,85000,49300,38250,172550,201377,28827
28-10-2025,VC001,Residential,Bangalore,37500,22500,15000,75000,87025,12025
29-10-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,188440,38440
30-10-2025,VC003,Road,Chennai,81000,47250,33750,162000,203816,41816
31-10-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,229947,49947
01-11-2025,VC005,Residential,Bangalore,68750,40000,26250,135000,174854,39854
02-11-2025,VC006,Commercial,Mysore,72250,35700,26350,134300,180656,46356
03-11-2025,VC007,Road,Chennai,46500,27000,19500,93000,116553,23553
04-11-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,224699,39699
05-11-2025,VC009,Residential,Bangalore,78300,44550,29700,152550,199693,47143
06-11-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,197483,33483
07-11-2025,VC011,Road,Chennai,78750,46250,33750,158750,196499,37749
08-11-2025,VC012,Bridge,Hyderabad,80750,45900,35700,162350,189249,26899
09-11-2025,VC013,Residential,Bangalore,45000,26250,17250,88500,102223,13723
10-11-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,226887,57887
11-11-2025,VC015,Road,Chennai,87750,51300,37800,176850,232946,56096
12-11-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,253971,56971
13-11-2025,VC017,Residential,Bangalore,77500,45000,30000,152500,187848,35348
14-11-2025,VC018,Commercial,Mysore,78200,39950,28900,147050,174204,27154
15-11-2025,VC019,Road,Chennai,50250,29250,21750,101250,119605,18355
16-11-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,243609,40609
17-11-2025,VC001,Residential,Bangalore,67500,40500,27000,135000,170079,35079
18-11-2025,VC002,Commercial,Mysore,80000,40000,30000,150000,193937,43937
19-11-2025,VC003,Road,Chennai,75000,43750,31250,150000,192305,42305
20-11-2025,VC004,Bridge,Hyderabad,76500,42500,34000,153000,184515,31515
21-11-2025,VC005,Residential,Bangalore,41250,24000,15750,81000,108618,27618
22-11-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,205017,47017
23-11-2025,VC007,Road,Chennai,83700,48600,35100,167400,211069,43669
24-11-2025,VC008,Bridge,Hyderabad,92000,52000,41000,185000,235383,50383
25-11-2025,VC009,Residential,Bangalore,72500,41250,27500,141250,174291,33041
26-11-2025,VC010,Commercial,Mysore,74800,37400,27200,139400,167216,27816
27-11-2025,VC011,Road,Chennai,47250,27750,20250,95250,116318,21068
28-11-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,248599,57599
29-11-2025,VC013,Residential,Bangalore,81000,47250,31050,159300,183653,24353
30-11-2025,VC014,Commercial,Mysore,90000,46000,33000,169000,198273,29273
01-12-2025,VC015,Road,Chennai,81250,47500,35000,163750,189819,26069
02-12-2025,VC016,Bridge,Hyderabad,83300,47600,36550,167450,193931,26481
03-12-2025,VC017,Residential,Bangalore,46500,27000,18000,91500,120879,29379
04-12-2025,VC018,Commercial,Mysore,92000,47000,34000,173000,223296,50296
05-12-2025,VC019,Road,Chennai,90450,52650,39150,182250,226871,44621
06-12-2025,VC020,Bridge,Hyderabad,100000,58000,45000,203000,237422,34422
07-12-2025,VC001,Residential,Bangalore,62500,37500,25000,125000,156040,31040
08-12-2025,VC002,Commercial,Mysore,68000,34000,25500,127500,158698,31198
09-12-2025,VC003,Road,Chennai,45000,26250,18750,90000,106617,16617
10-12-2025,VC004,Bridge,Hyderabad,90000,50000,40000,180000,222618,42618
11-12-2025,VC005,Residential,Bangalore,74250,43200,28350,145800,179290,33490
12-12-2025,VC006,Commercial,Mysore,85000,42000,31000,158000,201160,43160
13-12-2025,VC007,Road,Chennai,77500,45000,32500,155000,197937,42937
14-12-2025,VC008,Bridge,Hyderabad,78200,44200,34850,157250,182262,25012
15-12-2025,VC009,Residential,Bangalore,43500,24750,16500,84750,103812,19062
16-12-2025,VC010,Commercial,Mysore,88000,44000,32000,164000,209128,45128
17-12-2025,VC011,Road,Chennai,85050,49950,36450,171450,214420,42970
18-12-2025,VC012,Bridge,Hyderabad,95000,54000,42000,191000,252367,61367
19-12-2025,VC013,Residential,Bangalore,75000,43750,28750,147500,189056,41556
20-12-2025,VC014,Commercial,Mysore,76500,39100,28050,143650,169878,26228
21-12-2025,VC015,Road,Chennai,48750,28500,21000,98250,114374,16124
22-12-2025,VC016,Bridge,Hyderabad,98000,56000,43000,197000,251861,54861
